Compound,SMILES,R1,R2,R3,DENV % @ 50 uM,WNV % @ 50 uM,DENV2proHeLa % @ 12.5 uM,DENV2proHeLa EC50 (uM),CC50 (uM),thrombin % @ 25 uM,trypsin % @ 50 uM,virus titer reduction assay % @ 12.5 uM,virus titer reduction assay EC50 (uM)
28,O=C(CCCCC)N[C@@H](C1=CC=C(C(F)(F)F)C=C1)C(NCC2=CC=C(C(N)=O)C=C2)=O,O=CCCCCC,N[C@H](C=O)C1=CC=C(C=C1)C(F)(F)F,NCC1=CC=C(C=C1)C(N)=O,15.7 +/- 8.2,n.i.,31.3 +/- 6.9,n.d.,> 50,13.2 +/- 0.2,11.4 +/- 1.7,,
29,O=C(CCCCC)N[C@@H](C1=CC=C(O)C=C1)C(NCC2=CC=C(C(N)=O)C=C2)=O,O=CCCCCC,N[C@H](C=O)C1=CC=C(C=C1)O,NCC1=CC=C(C=C1)C(N)=O,n.i.,16.8 +/- 2.6,n.i.,n.d.,> 100,n.i.,n.i.,,
30,O=C(CCCCC)N[C@@H](CC1=CC=CC=C1)C(NCC2=CC=C(C(N)=O)C=C2)=O,O=CCCCCC,N[C@H](C=O)CC1=CC=CC=C1,NCC1=CC=C(C=C1)C(N)=O,n.i.,n.i.,n.i.,n.d.,> 50,n.i.,n.i.,,
31,O=C(CCCCC)N[C@H](C1=CC=C(OCC2=CC=CC=C2)C=C1)C(NCC3=CC=C(C(N)=O)C=C3)=O,O=CCCCCC,N[C@@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NCC1=CC=C(C=C1)C(N)=O,n.i.,n.i.,35.2 +/- 3.4,n.d.,> 50,16.6 +/- 5.7,n.i.,,
32,O=C(CCCCC)N[C@@H](C1=CC=C(OCC2=CC=C(C(F)(F)F)C=C2)C=C1)C(NCC3=CC=C(C(N)=O)C=C3)=O,O=CCCCCC,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=C(C=C2)C(F)(F)F,NCC1=CC=C(C=C1)C(N)=O,14.7 +/- 4.3,24.2 +/- 5.9,53.4+/- 3.6,9.8 +/- 0.6,> 100,n.i.,n.i.,,
33,O=C(CCCCC)N[C@H](C1=CC=C(OCC2=CC=C(C(F)(F)F)C=C2)C=C1)C(NCC3=CC=C(C(N)=O)C=C3)=O,O=CCCCCC,N[C@@H](C=O)C1=CC=C(C=C1)OCC2=CC=C(C=C2)C(F)(F)F,NCC1=CC=C(C=C1)C(N)=O,38.1 +/- 3.5,23.9 +/- 4.0,41.8 +/- 7.4,n.d.,> 50,12.4 +/- 7.8,n.i.,,
34,O=C(CCCCC)N[C@@H](C1=CC=C(OCC2=CC=C(C(C)(C)C)C=C2)C=C1)C(NCC3=CC=C(C(N)=O)C=C3)=O,O=CCCCCC,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=C(C=C2)C(C)(C)C,NCC1=CC=C(C=C1)C(N)=O,19.9 +/- 7.4,24.6 +/- 1.5,n.i.,n.d.,> 12.5,10.4 +/- 0.2,11.6 +/- 7.1,,
35,O=C(CCCCC)N[C@@H](C1=CC=C(OCC2=CC=C(C#N)C=C2)C=C1)C(NCC3=CC=C(C(N)=O)C=C3)=O,O=CCCCCC,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=C(C=C2)C#N,NCC1=CC=C(C=C1)C(N)=O,n.i.,n.i.,43.2 +/- 7.9,n.d.,> 50,n.i.,10.1 +/- 0.9,,
36,O=C(CCCCC)N[C@@H](C1=CC=C(OCC2=CC=CC(OC)=C2)C=C1)C(NCC3=CC=C(C(N)=O)C=C3)=O,O=CCCCCC,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC(OC)=C2,NCC1=CC=C(C=C1)C(N)=O,10.7 +/- 7.0,38.9 +/- 0.4,61.4 +/- 9.6,7.3 +/- 0.5,> 100,n.i.,n.i.,,
37,O=C(CCCCC)N[C@@H](C1=CC=C(OCC2=C(Cl)C=CC=C2Cl)C=C1)C(NCC3=CC=C(C(N)=O)C=C3)=O,O=CCCCCC,N[C@H](C=O)C1=CC=C(C=C1)OCC2=C(C=CC=C2Cl)Cl,NCC1=CC=C(C=C1)C(N)=O,27.2 +/- 3.0,29.1 +/- 0.9,70.6 +/- 2.5,8.3 +/- 0.6,> 50,n.i.,n.i.,,
